name,rating,ratedby,price
Salomon X Ultra 4 Mid GTX Hiking Shoe - Women's Quarry/Black/Legion Blue,4.1/5,16.0,125.0
La Sportiva Womens Ultra Raptor II Mid Leather GTX Waterproof Hiking Boots,5.0/5,10.0,152.0
New Balance mens Fresh Foam Garoé V1 Midcut Gtx,4.5/5,16.0,119.0
adidas Men's Terrex Trailmaker Gore-tex Hiking Walking Shoe,4.4/5,268.0,94.0
"Salewa Boy's Trekking & Hiking Boots High Rise Hiking Shoes, 4 us",4.1/5,860.0,119.0
Adidas TERREX Free Hiker 2.0 Low GORE-TEX Hiking Shoes,3.9/5,14.0,82.0
Arc'teryx Aerios Mid GTX Shoe | Fast and Light Gore-Tex Hiking Shoe,4.4/5,8.0,116.0
Lowa Men's Renegade GTX Mid Hiking Boot,4.6/5,852.0,249.0
Teva Women's Grandview Gore-Tex Durable Waterproof Hiking Boots,4.3/5,156.0,132.0
Arc'teryx Aerios Mid GTX Shoe | Fast and Light Gore-Tex Hiking Shoe,4.4/5,8.0,116.0
Merrell Moab 3 Mid GTX® Sedona Sage 11 M,4.2/5,7.0,
La Sportiva Mens Ultra Raptor II GTX Trail Running Shoes,3.9/5,26.0,120.0
NVIDIA Geforce GTX 1650 Super Video Card GPU 4GB GDDR6 PCI Express 4.0 Graphics Card 1 HDMI 1 DP 1 DVI Gaming Desktop Tower Business Computer PC (Made_by_Dell),4.6/5,11.0,149.0
La Sportiva Mens Nucleo High II GTX Hiking Boot,4.4/5,81.0,118.0
Merrell Moab 3 GTX® Granite 11 M,4.4/5,4.0,89.0
Brooks Men’s Cascadia 16 GTX Waterproof Trail Running Shoe,4.5/5,288.0,152.0
MSI Gaming GeForce GTX 1660 Super 192-bit HDMI/DP 6GB GDRR6 HDCP Support DirectX 12 Dual Fan VR Ready OC Graphics Card (GTX 1660 Super VENTUS XS OC),4.7/5,2113.0,299.0
INOV8 Men's G 345 GTX V2 Sneaker,,,73.0
Salomon Men's Speedcross 6 GTX Sneaker,3.1/5,6.0,165.0
Arc'teryx mens Konseal Fl 2 Leather Gtx,1.0/5,1.0,220.0
ASICS Women's GT-1000 12 Running Shoe,4.5/5,234.0,99.0
ASICS Women's Gel-Trabuco 11 GTX Running Shoes,4.2/5,11.0,119.0
TERREX AX4 Mid GORE-TEX Hiking Shoes,4.5/5,385.0,130.0
TERREX AX4 Mid GORE-TEX Hiking Shoes,4.5/5,385.0,130.0
Salomon OUTPULSE Gore-Tex Hiking Shoes for Women,4.3/5,7.0,99.0
